athlete_id,athlete_display_name,team_id,team_display_name
5176259,Joaquim ArauzMoore,2250,Gonzaga Bulldogs
5176260,Pavle Stošic,2492,Pepperdine Waves
5176261,Junseok Yeo,2547,Seattle U Redhawks
5176262,Rob Whaley Jr.,2309,Kent State Golden Flashes
5176263,Jacob Bannarbie,2439,UNLV Rebels
5176265,Khali Horton,2154,Coppin State Eagles
5176266,Ryan Archey,2428,North Carolina Central Eagles
5176268,Preist Ryan,325,Cleveland State Vikings
5176269,Camaren Sparrow,2154,Coppin State Eagles
5176272,Dallin Grant,3101,Utah Tech Trailblazers
5176273,Karson Templin,328,Utah State Aggies
5176274,Kalifa Sakho,248,Houston Cougars
5176275,Deywilk Tavarez,2350,Loyola Chicago Ramblers
5176278,Dean Shepherd,2169,Delaware State Hornets
5176280,Kael Combs,2294,Iowa Hawkeyes
5176283,Cam Manyawu,2294,Iowa Hawkeyes
5176285,Jonas Sirtautas,2352,Loyola Maryland Greyhounds
5176286,Jacob Theodosiou,2352,Loyola Maryland Greyhounds
5176290,Daniel Akitoby,2636,UTSA Roadrunners
5176291,Trent Edwards,2415,Morgan State Bears
5176294,Christian Oliver,2415,Morgan State Bears
5176296,Allen Udemadu,294,Jacksonville Dolphins
5176298,Julius Mims,166,New Mexico State Aggies
5176299,Tyler Mrus,252,BYU Cougars
5176300,Quinn Denker,2458,Northern Colorado Bears
5176301,EJ Neal Jr.,30,USC Trojans
5176303,Kristian Gonzalez,70,Idaho Vandals
5176305,Miles Klapper,70,Idaho Vandals
5176308,Win Miller,2057,Belmont Bruins
5176309,Drew Scharnowski,2057,Belmont Bruins
5176310,Sam Orme,2057,Belmont Bruins
5176311,Brigham Rogers,2057,Belmont Bruins
5176312,Demarion Burch,71,Bradley Braves
5176313,Almar Atlason,193,Miami (OH) RedHawks
5176314,Kevin Overton,2,Auburn Tigers
5176315,Colby Garland,23,San José State Spartans
5176317,Elijah Price,2440,Nevada Wolf Pack
5176318,Kolton Mitchell,70,Idaho Vandals
5176319,Jaedyn Brown,304,Idaho State Bengals
5176321,Kiree Huie,331,Eastern Washington Eagles
5176322,Isaiah Griffin,2710,Western Illinois Leathernecks
5176324,Evan Otten,304,Idaho State Bengals
5176325,Trent Johnson,2277,Houston Christian Huskies
5176331,Tyran Cook,2710,Western Illinois Leathernecks
5176333,Koree Cotton,292,UT Rio Grande Valley Vaqueros
5176334,AJ Clark,2678,VMI Keydets
5176335,Stephen Olowoniyi,204,Oregon State Beavers
5176337,Walker Andrews,2678,VMI Keydets
