athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
4610012,3.8,0.85,4.65,1340.35,Eric Dailey Jr.,UCLA Bruins,G
5241718,3.89,0.75,4.64,626.76,Anthony Nimani,Cornell Big Red,G
4567588,2.78,1.86,4.64,956.05,Devan Cambridge,UCF Knights,F
5107321,0.35,4.29,4.64,1699.16,Amarri Monroe,Quinnipiac Bobcats,F
5106043,0.95,3.67,4.63,624.8,Jonathan Beagle,Richmond Spiders,F
5311991,5.01,-0.4,4.61,1707.86,Stefan Vaaks,Providence Friars,G
5106647,-0.44,5.05,4.61,540.12,Thierno Sylla,Memphis Tigers,C
5175671,4.16,0.44,4.6,1609.67,Kory Mincy,George Mason Patriots,G
4684289,1.51,3.09,4.6,1782.4,Tre Carroll,Xavier Musketeers,F
5105626,3.79,0.81,4.59,1378.06,Tyler Bilodeau,UCLA Bruins,F
5313700,2.59,2.0,4.59,667.61,Cam Hiatt,Dartmouth Big Green,G
5107242,1.73,2.86,4.59,1347.31,Dion Brown,Saint Louis Billikens,G
5176140,2.44,2.14,4.58,1806.5,Karon Boyd,Wichita State Shockers,F
5106288,-1.34,5.92,4.58,1072.7,Elijah Fisher,Seton Hall Pirates,G
5241333,4.17,0.41,4.58,788.41,Eoin Dillon,Belmont Bruins,F
4684988,3.84,0.73,4.57,847.26,Percy Daniels,Tulane Green Wave,C
5313696,3.22,1.34,4.57,1776.9,Keith Palek III,Missouri State Bears,F
5312387,2.28,2.28,4.57,1570.03,Christian Harmon,Arkansas State Red Wolves,G
5106590,0.12,4.44,4.56,887.95,Trevon Blassingame,Idaho Vandals,G
5142622,1.33,3.23,4.56,583.47,Jake Wilkins,Georgia Bulldogs,F
4703887,0.54,4.02,4.55,1120.91,Nick Pringle,Arkansas Razorbacks,F
5108046,1.63,2.92,4.55,500.83,Emil Skytta,North Dakota State Bison,G
5105457,2.49,2.05,4.54,1855.4,Maurice Odum,Arizona State Sun Devils,G
4683755,3.13,1.41,4.54,1149.49,Mason Miller,Murray State Racers,F
4898223,1.33,3.2,4.54,649.61,Gus Larson,Queens University Royals,F
5114809,2.44,2.09,4.53,1554.69,Sola Adebisi,The Citadel Bulldogs,F
5242617,2.21,2.32,4.53,962.9,Julius Thedford,Memphis Tigers,G
4873208,3.96,0.56,4.52,685.89,AJ Swinton,Florida State Seminoles,F
5254159,3.65,0.87,4.52,1624.21,Isaiah Johnson,Colorado Buffaloes,G
5242635,2.18,2.34,4.52,1469.37,Arlandus Keyes,Mount St. Mary's Mountaineers,G
5174957,3.51,1.0,4.51,1291.87,Conrad Martinez,High Point Panthers,G
5178210,3.73,0.79,4.51,1475.03,Tylen Riley,Tulsa Golden Hurricane,G
5105691,3.0,1.51,4.51,1908.13,Austin Benigni,Navy Midshipmen,G
5175726,0.89,3.62,4.51,1355.54,Tyshawn Archie,McNeese Cowboys,G
5108925,1.79,2.72,4.51,1541.24,Alonzo Dodd,App State Mountaineers,G
5177694,3.43,1.07,4.5,1819.58,Money Williams,Montana Grizzlies,G
5106776,3.51,0.98,4.49,1710.14,LJ Wells,Northern Kentucky Norse,F
5238207,4.41,0.08,4.48,1456.43,Collin Chandler,Kentucky Wildcats,G
5240082,0.77,3.71,4.48,1495.27,Mostapha El Moutaouakkil,Jacksonville State Gamecocks,G
4873100,2.49,1.99,4.47,999.54,Travis Perry,Ole Miss Rebels,G
5176275,1.84,2.63,4.47,1218.89,Deywilk Tavarez,Loyola Chicago Ramblers,G
5176150,4.27,0.19,4.46,1047.09,Jake Davis,Illinois Fighting Illini,F
5174631,1.8,2.66,4.46,859.76,Ryan Soulis,Columbia Lions,F
5175854,3.72,0.73,4.45,660.55,Luke Paragon,Brown Bears,G
5107768,2.72,1.72,4.45,1130.26,Isaiah Brickner,Idaho Vandals,G
5174982,-0.2,4.64,4.44,1158.83,Berke Buyuktuncel,Nebraska Cornhuskers,F
