athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5105618,-3.26,4.56,1.3,984.87,Quante Berry,Memphis Tigers,G
4869768,0.34,0.96,1.29,1640.4,David Castillo,Kansas State Wildcats,G
5239749,0.69,0.6,1.29,1191.46,Tekao Carpenter,North Carolina Central Eagles,G
5240016,0.79,0.5,1.29,899.54,Jamie Phillips Jr.,Stetson Hatters,G
5176386,3.03,-1.75,1.29,1668.2,Connor Sevilla,UC Davis Aggies,G
4685658,-1.69,2.96,1.28,893.38,Taylor Bol Bowen,Alabama Crimson Tide,F
5311582,-2.34,3.62,1.28,1066.9,Preston Turner,Eastern Illinois Panthers,G
5174586,-0.41,1.68,1.27,594.56,Jake DiMichele,Duquesne Dukes,G
5105607,3.02,-1.76,1.26,1089.8,Kam Craft,Georgia Tech Yellow Jackets,G
5177049,1.72,-0.46,1.26,504.94,Bubz Alvarez,South Dakota State Jackrabbits,G
5106247,4.67,-3.42,1.26,1311.75,Cooper Noard,Cornell Big Red,G
4702777,3.56,-2.31,1.25,1334.05,Ja'Juan Carr,Elon Phoenix,G
4873086,2.63,-1.38,1.25,594.73,Mercy Miller,Houston Cougars,G
5125176,-1.27,2.51,1.24,876.54,Emmanuel Okorafor,Wichita State Shockers,F
5247705,2.59,-1.35,1.24,1154.94,Doyel Cockrill III,Chicago State Cougars,G
5254339,0.51,0.73,1.24,654.21,Jalen Stokes,UC Davis Aggies,G
5243004,-3.08,4.31,1.24,900.79,Pedro Santos,UT Martin Skyhawks,G
5242568,2.64,-1.41,1.24,1034.98,Jordan Pyke,Incarnate Word Cardinals,F
5177021,-0.52,1.76,1.23,1600.92,Biko Johnson,Idaho Vandals,G
4901166,-0.5,1.73,1.23,1132.83,Tay Smith,North Dakota State Bison,G
5240746,1.65,-0.43,1.22,1381.21,Cobi Campbell,Troy Trojans,G
5316047,-0.95,2.16,1.22,1069.73,Thomas Bassong,Florida State Seminoles,F
5314284,1.09,0.13,1.21,857.5,Brady Swartz,Western Michigan Broncos,G
5313308,-0.43,1.64,1.21,821.2,Gregory Lawson II,Eastern Michigan Eagles,G
5176815,0.89,0.31,1.21,543.1,David Douglas Jr.,Fresno State Bulldogs,G
5314331,1.2,0.01,1.21,956.39,Tyler King,SIU Edwardsville Cougars,G
5313214,0.81,0.4,1.2,941.97,Kameron Tinsley,IU Indianapolis Jaguars,F
4896367,-1.07,2.27,1.2,1575.27,Xzavier Long,Hampton Pirates,F
5312171,1.64,-0.44,1.2,551.86,Mujahiid Burton,North Carolina A&T Aggies,G
5175943,1.02,0.18,1.2,900.38,Andres Burney,Georgia Southern Eagles,F
5241495,-0.11,1.31,1.2,1030.81,Biggie Patterson,Hofstra Pride,G
5174633,2.35,-1.16,1.19,1816.03,Xzayvier Brown,Oklahoma Sooners,G
5312184,-0.43,1.61,1.19,742.12,Ethan Simmon,Stony Brook Seawolves,G
5177167,1.18,0.0,1.18,1535.94,Mike Evbagharu,Canisius Golden Griffins,G
4896939,-0.32,1.5,1.18,1737.33,Giovanni Emejuru,East Carolina Pirates,C
5241409,-0.7,1.88,1.18,1370.65,Will Hornseth,Northern Iowa Panthers,F
5243100,-0.43,1.6,1.17,558.85,Isaiah Brown,Howard Bison,G
5177175,0.06,1.11,1.17,873.42,Dalen Davis,Princeton Tigers,G
4848644,-0.14,1.31,1.17,547.68,JaQualon Roberts,Davidson Wildcats,F
5241721,-0.05,1.22,1.17,1187.71,Kareem Thomas,Dartmouth Big Green,G
5108121,0.33,0.84,1.17,798.34,Kheni Briggs,New Haven Chargers,G
5105606,1.6,-0.43,1.16,556.21,Desmond Claude,Washington Huskies,G
5241956,-0.14,1.3,1.16,818.93,Abass Bodija,Fordham Rams,F
5243266,0.54,0.62,1.16,517.41,CJ Hyland,Western Carolina Catamounts,G
5314453,0.82,0.35,1.16,1529.85,BJ Plummer,North Florida Ospreys,F
5313948,-1.61,2.77,1.16,935.21,Jamari Piercy,Coppin State Eagles,G
5152729,-0.86,2.02,1.16,866.91,Jalin Holland,Colorado Buffaloes,G
5105862,-0.69,1.84,1.15,744.4,Luke Haertle,South Dakota State Jackrabbits,G
5240393,-1.17,2.32,1.15,1019.24,Makhi Myles,SE Louisiana Lions,F
5313215,1.12,0.02,1.14,772.99,Aiden Miller,IU Indianapolis Jaguars,F
5241457,-0.94,2.08,1.14,756.2,Alec Squires,South Dakota State Jackrabbits,C
5108043,-1.93,3.07,1.14,1187.04,Ola Ajiboye,Southern Indiana Screaming Eagles,F
4712656,-0.34,1.48,1.14,1488.15,Tre-Vaughn Minott,Portland State Vikings,C
5240005,2.05,-0.93,1.12,1158.29,Maban Jabriel,Queens University Royals,F
5314183,-2.04,3.15,1.12,675.08,Adrean Newton,Norfolk State Spartans,G
4602029,-2.53,3.65,1.12,662.61,Keshawn Williams,Iona Gaels,G
5107317,3.4,-2.29,1.1,1896.32,Jackson Paveletzke,Ohio Bobcats,G
5174569,3.5,-2.39,1.1,1647.41,Mike Loughnane,Northeastern Huskies,G
5243339,-1.1,2.2,1.1,1283.17,PJ Eason,Alabama A&M Bulldogs,F
4684156,-0.06,1.16,1.1,974.49,Shaqir O'Neal,Sacramento State Hornets,F
5241748,4.04,-2.94,1.1,1641.85,Karmani Gregory,South Carolina Upstate Spartans,G
5182415,2.96,-1.86,1.1,952.05,Augustus Gerhart,Pennsylvania Quakers,F
5314165,1.26,-0.16,1.09,1105.88,Mason Porter-Brown,Long Island University Sharks,F
5313893,0.76,0.33,1.08,1587.67,Kam Sanders,Air Force Falcons,G
4684296,1.37,-0.29,1.08,1274.72,Legend Geeter,Detroit Mercy Titans,F
5108030,-1.61,2.69,1.07,722.08,Jaquel Morris,Norfolk State Spartans,F
5105533,0.65,0.41,1.06,1521.11,Corneilous Williams,North Alabama Lions,F
