athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5314709,-0.24,1.74,1.5,Cenker Evran,357,Texas A&M-Corpus Christi Islanders,880.6767977954936
4896462,0.45,1.05,1.5,Cam McDowell,2627,Tarleton State Texans,912.7944395075783
4712902,1.0,0.5,1.5,Cameron Corhen,221,Pittsburgh Panthers,1787.13431371036
4433615,-0.08,1.58,1.5,Chris Hodges,147,Montana State Bobcats,1203.3359790848403
5113385,0.25,1.25,1.5,Kellan Boylan,288,Lipscomb Bisons,708.1085309833096
5176385,-0.45,1.94,1.5,Kyle Pock,2460,Northern Iowa Panthers,674.0177046166468
5107703,-0.53,2.03,1.5,Nick Ellington,2244,George Mason Patriots,652.6051082869789
5314587,0.69,0.8,1.49,Narit Chotikavanic,2617,Stephen F. Austin Lumberjacks,1228.1536355250926
5314195,0.05,1.44,1.49,Francis Folefac,2561,Siena Saints,1481.8828523835937
5313191,1.11,0.38,1.49,Momo Nkugwa,261,Vermont Catamounts,581.02821684279
5106727,0.19,1.3,1.49,Dylan Williamson,119,Towson Tigers,1947.746025808317
5239748,0.57,0.92,1.49,Tate McCubbin,2046,Austin Peay Governors,1607.2165680923263
4712866,0.76,0.73,1.49,Isaac Traudt,156,Creighton Bluejays,991.8220675579148
5041955,0.39,1.1,1.49,Darryn Peterson,2305,Kansas Jayhawks,1064.760038669856
5311740,0.86,0.63,1.49,Sergej Macura,344,Mississippi State Bulldogs,881.1266716114932
5175354,0.63,0.85,1.48,Augusto Cassiá,145,Ole Miss Rebels,516.8336203855475
5175146,0.77,0.71,1.48,Mekhi Lowery,82,UIC Flames,1408.1236656084034
4708219,1.03,0.45,1.48,Tay Mosher,2837,East Texas A&M Lions,748.2780179221825
5311759,1.8,-0.32,1.48,Chandler Bing,238,Vanderbilt Commodores,819.856694542031
5105471,1.56,-0.09,1.48,Ethan Potter,3101,Utah Tech Trailblazers,1749.1031286611237
5243241,0.84,0.64,1.48,Jaden Brownell,30,USC Trojans,660.3764423097964
5241402,1.3,0.17,1.47,Britton Berrett,3101,Utah Tech Trailblazers,1321.840180582838
5108811,1.16,0.31,1.47,Ethan Roberts,219,Pennsylvania Quakers,1182.459432662766
5313861,0.13,1.33,1.47,Enel St. Bernard,282,Indiana State Sycamores,976.2964030807681
5176384,0.66,0.8,1.46,RJ Taylor,2460,Northern Iowa Panthers,519.114846399161
5175369,-0.12,1.59,1.46,Gytis Nemeiksa,62,Hawai'i Rainbow Warriors,1360.9106860208208
