athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
4901934,95,0.3157894736842105,-0.175,0.779,1.6611093710121463,0.0966914827451761
5312187,63,0.36507936507936506,-0.1750278706800446,0.867,1.3150739115059076,0.18848506344978444
5313212,84,0.40476190476190477,-0.1752701080432173,0.956,1.4868696105956758,0.13704925190445266
5108909,40,0.3,-0.17532467532467533,1.0,0.6516254540523234,0.5146428230784093
5240746,132,0.44696969696969696,-0.17572035899858285,0.858,1.8987173150858596,0.057601653701184294
4683784,21,0.38095238095238093,-0.17582417582417587,0.845,0.283447440746924,0.7768338663370068
5175737,96,0.3020833333333333,-0.17607105538140022,0.992,1.5898828796052604,0.11186120741947264
5314513,21,0.14285714285714285,-0.17647058823529413,1.0,0.34602283272391615,0.7293255554175375
4706561,74,0.35135135135135137,-0.1766666666666667,0.947,1.3552414534659147,0.17534064138225514
5175173,25,0.36,-0.1777777777777778,0.325,0.4361115483867042,0.6627557987449598
5241593,65,0.36923076923076925,-0.17815482502651114,0.904,1.2691016866082143,0.20440479883290108
5106776,42,0.2857142857142857,-0.17816091954022992,0.854,0.9072897986647167,0.36425356737172754
5313179,37,0.32432432432432434,-0.17818181818181816,0.902,0.4903600011504212,0.6238791755867813
5243038,143,0.42657342657342656,-0.1783039870471565,0.866,2.0659984834035487,0.03882862278880858
5239798,72,0.3333333333333333,-0.17844202898550723,0.967,1.33765261414503,0.1810097046174195
5152763,12,0.3333333333333333,-0.17857142857142855,0.699,0.11498327637597518,0.9084583776355821
5314567,12,0.3333333333333333,-0.17857142857142855,1.0,0.11498327637597518,0.9084583776355821
5176194,12,0.4166666666666667,-0.17857142857142855,0.537,0.4164120732859763,0.6771084953449384
5324428,12,0.3333333333333333,-0.17857142857142855,0.518,0.11498327637597518,0.9084583776355821
5108983,34,0.35294117647058826,-0.17857142857142855,1.0,0.753618128365294,0.4510785556650241
5323990,23,0.34782608695652173,-0.17857142857142855,1.0,0.5035492309168879,0.6145781765862477
5144381,12,0.3333333333333333,-0.17857142857142855,0.676,0.11498327637597518,0.9084583776355821
5314476,80,0.275,-0.17942583732057416,0.787,1.4438069914648337,0.14879327480735846
5241686,101,0.297029702970297,-0.17969888295288972,0.996,1.636891758779848,0.10165308822124278
5105604,75,0.44,-0.18005952380952384,0.847,1.425203813285632,0.1540982943806463
